No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
154,Science,"Combined Science (Chemistry, Physics)",Female,Percentage,,,65.6,0.0%,0.0%,0.0%,12.5%,56.3%,78.1%,90.6%,9.4%
155,Science,"Combined Science (Chemistry, Physics)",Total,Number,72,67,,0,0,3,13,34,50,60,7
156,Science,"Combined Science (Chemistry, Physics)",Total,Percentage,,,73.1,0.0%,0.0%,4.5%,19.4%,50.7%,74.6%,89.6%,10.4%
157,Science,Combined Science (Biology),Male,Number,102,88,,1,2,4,21,49,73,81,7
158,Science,Combined Science (Biology),Male,Percentage,,,88.6,1.1%,2.3%,4.5%,23.9%,55.7%,83.0%,92.0%,8.0%
159,Science,Combined Science (Biology),Female,Number,67,66,,2,2,4,11,26,45,58,8
160,Science,Combined Science (Biology),Female,Percentage,,,86.4,3.0%,3.0%,6.1%,16.7%,39.4%,68.2%,87.9%,12.1%
161,Science,Combined Science (Biology),Total,Number,169,154,,3,4,8,32,75,118,139,15
162,Science,Combined Science (Biology),Total,Percentage,,,87.7,1.9%,2.6%,5.2%,20.8%,48.7%,76.6%,90.3%,9.7%
163,Science,Combined Science (Chemistry),Male,Number,130,113,,0,1,1,18,43,63,89,24
164,Science,Combined Science (Chemistry),Male,Percentage,,,85.0,0.0%,0.9%,0.9%,15.9%,38.1%,55.8%,78.8%,21.2%
165,Science,Combined Science (Chemistry),Female,Number,97,92,,0,2,2,10,34,56,75,17
166,Science,Combined Science (Chemistry),Female,Percentage,,,78.3,0.0%,2.2%,2.2%,10.9%,37.0%,60.9%,81.5%,18.5%
167,Science,Combined Science (Chemistry),Total,Number,227,205,,0,3,3,28,77,119,164,41
168,Science,Combined Science (Chemistry),Total,Percentage,,,82.0,0.0%,1.5%,1.5%,13.7%,37.6%,58.0%,80.0%,20.0%
169,Science,Combined Science (Physics),Male,Number,48,42,,1,2,5,12,23,35,40,2
170,Science,Combined Science (Physics),Male,Percentage,,,83.3,2.4%,4.8%,11.9%,28.6%,54.8%,83.3%,95.2%,4.8%
171,Science,Combined Science (Physics),Female,Number,38,36,,0,1,2,5,13,22,32,4
172,Science,Combined Science (Physics),Female,Percentage,,,69.4,0.0%,2.8%,5.6%,13.9%,36.1%,61.1%,88.9%,11.1%
173,Science,Combined Science (Physics),Total,Number,86,78,,1,3,7,17,36,57,72,6
174,Science,Combined Science (Physics),Total,Percentage,,,76.9,1.3%,3.8%,9.0%,21.8%,46.2%,73.1%,92.3%,7.7%
175,Science,Combined Science,Male,Number,140,124,,0,0,4,20,53,89,109,15
176,Science,Combined Science,Male,Percentage,,,86.3,0.0%,0.0%,3.2%,16.1%,42.7%,71.8%,87.9%,12.1%
177,Science,Combined Science,Female,Number,101,98,,0,1,3,11,36,59,82,16
178,Science,Combined Science,Female,Percentage,,,79.6,0.0%,1.0%,3.1%,11.2%,36.7%,60.2%,83.7%,16.3%
179,Science,Combined Science,Total,Number,241,222,,0,1,7,31,89,148,191,31
180,Science,Combined Science,Total,Percentage,,,83.3,0.0%,0.5%,3.2%,14.0%,40.1%,66.7%,86.0%,14.0%
181,Science,Integrated Science,Male,Number,36,27,,0,0,0,1,6,15,26,1
182,Science,Integrated Science,Male,Percentage,,,88.9,0.0%,0.0%,0.0%,3.7%,22.2%,55.6%,96.3%,3.7%
183,Science,Integrated Science,Female,Number,16,16,,0,1,2,2,4,8,13,3
184,Science,Integrated Science,Female,Percentage,,,75.0,0.0%,6.3%,12.5%,12.5%,25.0%,50.0%,81.3%,18.8%
185,Science,Integrated Science,Total,Number,52,43,,0,1,2,3,10,23,39,4
186,Science,Integrated Science,Total,Percentage,,,83.7,0.0%,2.3%,4.7%,7.0%,23.3%,53.5%,90.7%,9.3%
187,Technology and Living,Food Science and Technology,Male,Number,35,31,,0,0,0,2,8,19,28,3
188,Technology and Living,Food Science and Technology,Male,Percentage,,,77.4,0.0%,0.0%,0.0%,6.5%,25.8%,61.3%,90.3%,9.7%
189,Technology and Living,Food Science and Technology,Female,Number,118,113,,1,4,11,23,60,95,110,3
190,Technology and Living,Food Science and Technology,Female,Percentage,,,56.6,0.9%,3.5%,9.7%,20.4%,53.1%,84.1%,97.3%,2.7%
191,Technology and Living,Food Science and Technology,Total,Number,153,144,,1,4,11,25,68,114,138,6
192,Technology and Living,Food Science and Technology,Total,Percentage,,,61.1,0.7%,2.8%,7.6%,17.4%,47.2%,79.2%,95.8%,4.2%
193,Technology and Living,"Fashion, Clothing and Textiles",Male,Number,6,3,,0,0,0,0,1,1,2,1
194,Technology and Living,"Fashion, Clothing and Textiles",Male,Percentage,,,100.0,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,66.7%,33.3%
195,Technology and Living,"Fashion, Clothing and Textiles",Female,Number,28,20,,0,1,1,5,10,17,20,0
196,Technology and Living,"Fashion, Clothing and Textiles",Female,Percentage,,,60.0,0.0%,5.0%,5.0%,25.0%,50.0%,85.0%,100.0%,0.0%
197,Technology and Living,"Fashion, Clothing and Textiles",Total,Number,34,23,,0,1,1,5,11,18,22,1
198,Technology and Living,"Fashion, Clothing and Textiles",Total,Percentage,,,65.2,0.0%,4.3%,4.3%,21.7%,47.8%,78.3%,95.7%,4.3%
199,Tourism and Hospitality Studies,,Male,Number,1209,1104,,3,8,30,134,322,762,975,129
200,Tourism and Hospitality Studies,,Male,Percentage,,,90.3,0.3%,0.7%,2.7%,12.1%,29.2%,69.0%,88.3%,11.7%
201,Tourism and Hospitality Studies,,Female,Number,1789,1695,,10,42,98,304,673,1297,1572,123
202,Tourism and Hospitality Studies,,Female,Percentage,,,86.8,0.6%,2.5%,5.8%,17.9%,39.7%,76.5%,92.7%,7.3%
