No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
142,Technology and Living,"Fashion, Clothing and Textiles",Female,Percentage,,,60.0,0.0%,0.0%,6.7%,26.7%,70.0%,96.7%,96.7%,3.3%
143,Technology and Living,"Fashion, Clothing and Textiles",Total,Number,37,34,,0,0,2,9,22,31,33,1
144,Technology and Living,"Fashion, Clothing and Textiles",Total,Percentage,,,64.7,0.0%,0.0%,5.9%,26.5%,64.7%,91.2%,97.1%,2.9%
145,Tourism and Hospitality Studies,,Male,Number,1709,1592,,7,26,59,210,511,1128,1409,183
146,Tourism and Hospitality Studies,,Male,Percentage,,,91.0,0.4%,1.6%,3.7%,13.2%,32.1%,70.9%,88.5%,11.5%
147,Tourism and Hospitality Studies,,Female,Number,2247,2183,,13,59,142,450,966,1753,2024,159
148,Tourism and Hospitality Studies,,Female,Percentage,,,87.0,0.6%,2.7%,6.5%,20.6%,44.3%,80.3%,92.7%,7.3%
149,Tourism and Hospitality Studies,,Total,Number,3956,3775,,20,85,201,660,1477,2881,3433,342
150,Tourism and Hospitality Studies,,Total,Percentage,,,88.7,0.5%,2.3%,5.3%,17.5%,39.1%,76.3%,90.9%,9.1%
151,Visual Arts,,Male,Number,833,793,,1,7,26,111,261,581,722,71
152,Visual Arts,,Male,Percentage,,,84.4,0.1%,0.9%,3.3%,14.0%,32.9%,73.3%,91.0%,9.0%
153,Visual Arts,,Female,Number,2838,2770,,26,92,223,787,1639,2471,2674,96
154,Visual Arts,,Female,Percentage,,,83.2,0.9%,3.3%,8.1%,28.4%,59.2%,89.2%,96.5%,3.5%
155,Visual Arts,,Total,Number,3671,3563,,27,99,249,898,1900,3052,3396,167
156,Visual Arts,,Total,Percentage,,,83.5,0.8%,2.8%,7.0%,25.2%,53.3%,85.7%,95.3%,4.7%
157,All Category A subjects# (except Citizenship and Social Development),,Male,Number,112640,109863,,1846,6856,16149,39569,67820,92695,103026,6837
158,All Category A subjects# (except Citizenship and Social Development),,Male,Percentage,,,46.7,1.7%,6.2%,14.7%,36.0%,61.7%,84.4%,93.8%,6.2%
159,All Category A subjects# (except Citizenship and Social Development),,Female,Number,109429,107296,,1312,5464,14178,40394,70520,94248,102738,4558
160,All Category A subjects# (except Citizenship and Social Development),,Female,Percentage,,,42.7,1.2%,5.1%,13.2%,37.6%,65.7%,87.8%,95.8%,4.2%
161,All Category A subjects# (except Citizenship and Social Development),,Total,Number,222069,217159,,3158,12320,30327,79963,138340,186943,205764,11395
162,All Category A subjects# (except Citizenship and Social Development),,Total,Percentage,,,44.8,1.5%,5.7%,14.0%,36.8%,63.7%,86.1%,94.8%,5.2%
